"playerID","yearID","votes","needed","inducted"
"Scott Rolen",2023,297,292,"Y"
"Todd Helton HOF",2023,281,292,"N"
"Billy Wagner",2023,265,292,"N"
"Andruw Jones",2023,226,292,"N"
"Gary Sheffield",2023,214,292,"N"
"Carlos Beltrán",2023,181,292,"N"
"X-Jeff Kent",2023,181,292,"N"
"Alex Rodriguez",2023,139,292,"N"
"Manny Ramirez",2023,129,292,"N"
"Omar Vizquel",2023,76,292,"N"
"Andy Pettitte",2023,66,292,"N"
"Bobby Abreu",2023,60,292,"N"
"Jimmy Rollins",2023,50,292,"N"
"Mark Buehrle",2023,42,292,"N"
"Francisco Rodríguez",2023,42,292,"N"
"Torii Hunter",2023,27,292,"N"
"X-Huston Street",2023,1,292,"N"
"X-Bronson Arroyo",2023,1,292,"N"
"X-Mike Napoli",2023,1,292,"N"
"X-John Lackey",2023,1,292,"N"
"X-R.A. Dickey",2023,1,292,"N"
"X-Jhonny Peralta",2023,0,292,"N"
"X-J.J. Hardy",2023,0,292,"N"
"X-Andre Ethier",2023,0,292,"N"
"X-Jacoby Ellsbury",2023,0,292,"N"
"X-Matt Cain",2023,0,292,"N"
"X-Jered Weaver",2023,0,292,"N"
"X-Jayson Werth",2023,0,292,"N"
"cobbty01",1936,222,170,"Y"
"ruthba01",1936,215,170,"Y"
"wagneho01",1936,215,170,"Y"
"mathech01",1936,205,170,"Y"
"johnswa01",1936,189,170,"Y"
"lajoina01",1936,146,170,"N"
"speaktr01",1936,133,170,"N"
"youngcy01",1936,111,170,"N"
"hornsro01",1936,105,170,"N"
"cochrmi01",1936,80,170,"N"
"sislege01",1936,77,170,"N"
"collied01",1936,60,170,"N"
"colliji01",1936,58,170,"N"
"alexape01",1936,55,170,"N"
"gehrilo01",1936,51,170,"N"
"bresnro01",1936,47,170,"N"
"keelewi01",1936,40,170,"N"
"ansonca01",1936,39,59,"N"
"ewingbu01",1936,39,59,"N"
"keelewi01",1936,33,59,"N"
"wadderu01",1936,33,170,"N"
"youngcy01",1936,32,59,"N"
"delahed01",1936,21,59,"N"
"foxxji01",1936,21,170,"N"
"walshed01",1936,20,170,"N"
"mcgrajo01",1936,17,59,"N"
"delahed01",1936,17,170,"N"
"radboch01",1936,16,59,"N"
"traynpi01",1936,16,170,"N"
"kellyki01",1936,15,59,"N"
"longhe01",1936,15,59,"N"
"friscfr01",1936,14,170,"N"
"grovele01",1936,12,170,"N"
"jennihu01",1936,11,59,"N"
"rusieam01",1936,11,59,"N"
"chaseha01",1936,11,170,"N"
"youngro01",1936,10,170,"N"
"clarkfr01",1936,9,59,"N"
"terrybi01",1936,9,170,"N"
"colliji01",1936,8,59,"N"
"klingjo01",1936,8,170,"N"
"crigelo01",1936,7,170,"N"
"comisch01",1936,6,59,"N"
"dennyje01",1936,6,59,"N"
"langebi01",1936,6,59,"N"
"robinwi01",1936,6,59,"N"
"stoveha01",1936,6,59,"N"
"wrighge01",1936,6,59,"N"
"brownmo01",1936,6,170,"N"
"eversjo01",1936,6,170,"N"
"clarkjo01",1936,5,59,"N"
"wagneho01",1936,5,59,"N"
"chancfr01",1936,5,170,"N"
"spaldal01",1936,4,59,"N"
"mcgrajo01",1936,4,170,"N"
"schalra01",1936,4,170,"N"
"simmoal01",1936,4,170,"N"
"barnero01",1936,3,59,"N"
"bennech01",1936,3,59,"N"
"duffyhu01",1936,3,59,"N"
"nichoki01",1936,3,59,"N"
"wardjo01",1936,3,59,"N"
"broutda01",1936,2,59,"N"
"dunlafr01",1936,2,59,"N"
"glassja01",1936,2,59,"N"
"hamilbi01",1936,2,59,"N"
"lajoina01",1936,2,59,"N"
"willine01",1936,2,59,"N"
"bendech01",1936,2,170,"N"
"jacksjo01",1936,2,170,"N"
"roushed01",1936,2,170,"N"
"allisdo01",1936,1,59,"N"
"battijo01",1936,1,59,"N"
"becklja01",1936,1,59,"N"
"bondto01",1936,1,59,"N"
"burkeje01",1936,1,59,"N"
"crigelo01",1936,1,59,"N"
"dahlebi01",1936,1,59,"N"
"daubeja01",1936,1,59,"N"
"doyleja01",1936,1,59,"N"
"keefeti01",1936,1,59,"N"
"kilroma01",1936,1,59,"N"
"lathaar01",1936,1,59,"N"
"lowebo01",1936,1,59,"N"
"mcaleji01",1936,1,59,"N"
"mccarto01",1936,1,59,"N"
"mcveyca01",1936,1,59,"N"
"paborch01",1936,1,59,"N"
"pikeli01",1936,1,59,"N"
"remseja01",1936,1,59,"N"
"richaha01",1936,1,59,"N"
"tennefr02",1936,1,59,"N"
"vanhage01",1936,1,59,"N"
"wallabo01",1936,1,59,"N"
"whitede01",1936,1,59,"N"
"bakerfr01",1936,1,170,"N"
"bradlbi01",1936,1,170,"N"
"clarkfr01",1936,1,170,"N"
"crawfsa01",1936,1,170,"N"
"elberki01",1936,1,170,"N"
"mackco01",1936,1,170,"N"
"marquru01",1936,1,170,"N"
"ruckena01",1936,1,170,"N"
"vanceda01",1936,1,170,"N"
"cummica01",1936,0,59,"N"
"flintsi01",1936,0,59,"N"
"richmle01",1936,0,59,"N"
"gehrich01",1936,0,170,"N"
"hartnga01",1936,0,170,"N"
"sullibi03",1936,0,170,"N"
"lajoina01",1937,168,151,"Y"
"speaktr01",1937,165,151,"Y"
"youngcy01",1937,153,151,"Y"
"alexape01",1937,125,151,"N"
"collied01",1937,115,151,"N"
"keelewi01",1937,115,151,"N"
"sislege01",1937,106,151,"N"
"delahed01",1937,70,151,"N"
"wadderu01",1937,67,151,"N"
"colliji01",1937,66,151,"N"
"walshed01",1937,56,151,"N"
"hornsro01",1937,53,151,"N"
"chancfr01",1937,49,151,"N"
"eversjo01",1937,44,151,"N"
"bresnro01",1937,43,151,"N"
"brownmo01",1937,31,151,"N"
"maranra01",1937,25,151,"N"
"schalra01",1937,24,151,"N"
"planked01",1937,23,151,"N"
"clarkfr01",1937,22,151,"N"
"klingjo01",1937,20,151,"N"
"chaseha01",1937,18,151,"N"
"bendech01",1937,17,151,"N"
"crigelo01",1937,16,151,"N"
"youngro01",1937,16,151,"N"
"pennohe01",1937,15,151,"N"
"tinkejo01",1937,15,151,"N"
"bakerfr01",1937,13,151,"N"
"marquru01",1937,13,151,"N"
"woodjo02",1937,13,151,"N"
"mcginjo01",1937,12,151,"N"
"jossad01",1937,11,151,"N"
"ruckena01",1937,11,151,"N"
"heilmha01",1937,10,151,"N"
"roushed01",1937,10,151,"N"
"vanceda01",1937,10,151,"N"
"adamsba01",1937,8,151,"N"
"duffyhu01",1937,7,151,"N"
"archeji01",1937,6,151,"N"
"careyma01",1937,6,151,"N"
"donlimi01",1937,6,151,"N"
"hoopeha01",1937,6,151,"N"
"bradlbi01",1937,5,151,"N"
"carribi02",1937,5,151,"N"
"crawfsa01",1937,5,151,"N"
"huggimi01",1937,5,151,"N"
"mcgrajo01",1937,5,151,"N"
"robinwi01",1937,5,151,"N"
"tennefr02",1937,5,151,"N"
"wheatza01",1937,5,151,"N"
"combsea01",1937,4,151,"N"
"griffcl01",1937,4,151,"N"
"jennihu01",1937,4,151,"N"
"altroni01",1937,3,151,"N"
"bancrda01",1937,3,151,"N"
"burnsge01",1937,3,151,"N"
"donovbi01",1937,3,151,"N"
"faberre01",1937,3,151,"N"
"lewisdu01",1937,3,151,"N"
"nehfar01",1937,3,151,"N"
"peckiro01",1937,3,151,"N"
"bergema01",1937,2,151,"N"
"bodiepi01",1937,2,151,"N"
"coombja01",1937,2,151,"N"
"cravaga01",1937,2,151,"N"
"daubeja01",1937,2,151,"N"
"doylela01",1937,2,151,"N"
"fletcar01",1937,2,151,"N"
"gowdyha01",1937,2,151,"N"
"loberha01",1937,2,151,"N"
"mageesh01",1937,2,151,"N"
"schreos01",1937,2,151,"N"
"scottev01",1937,2,151,"N"
"breitte01",1937,1,151,"N"
"burkeje01",1937,1,151,"N"
"bushdo01",1937,1,151,"N"
"chesbja01",1937,1,151,"N"
"cissebi01",1937,1,151,"N"
"collish01",1937,1,151,"N"
"dooinre01",1937,1,151,"N"
"duganjo01",1937,1,151,"N"
"elberki01",1937,1,151,"N"
"falkecy01",1937,1,151,"N"
"gleaski01",1937,1,151,"N"
"grimebu01",1937,1,151,"N"
"grohhe01",1937,1,151,"N"
"hinchbi01",1937,1,151,"N"
"judgejo01",1937,1,151,"N"
"kerrdi01",1937,1,151,"N"
